"school","school_id","distance","hospital","school_latitude","school_longitude","hospital_latitude","hospital_id","hospital_longitude","city_school","city_hospital","id"
"Chisnallwood Intermediate","db19c6949e8063fb66bc5414442f6e00d038fed0",3.20409,"Entrance 4, Burwood Hospital",-43.510301,172.689185,-43.4816328,"7d187886e26bb6637c3bacd70428d3b7b35598ed",172.6848792,"Christchurch","Christchurch",269
"Sacred Heart School","19b8faefd0a5a2bba0d982234ff23075cc6c9010",1.38688,"Christchurch Outpatients Building",-43.5460159,172.6122117,-43.5409947,"8c65180e43fe26bb63b7d8c259ea74d41faf6f0f",172.6279226,"Christchurch","Christchurch",270
"Sacred Heart School","19b8faefd0a5a2bba0d982234ff23075cc6c9010",1.60073,"Christchurch Hospital ASB Unit",-43.5460159,172.6122117,-43.5340263,"0ca8b8eb9c8c27d16c51988ee1431e8943d9c551",172.623194,"Christchurch","Christchurch",271
"Sacred Heart School","19b8faefd0a5a2bba0d982234ff23075cc6c9010",1.72972,"Christchurch Hospital",-43.5460159,172.6122117,-43.534003,"f467be0c7f14587d37cef74b2b53863510cc9bb6",172.625825,"Christchurch","Christchurch",272
"Paparoa Street School","7e217ad0f441d5f73006fc984cec0c75e080764e",1.06354,"Silverdale Hospital",-43.4998935,172.6206626,-43.5088203,"142efa9e94cc4cf09fdf2ff0c43ebadfffe04670",172.6254112,"Christchurch","Christchurch",273
"Paparoa Street School","7e217ad0f441d5f73006fc984cec0c75e080764e",1.18381,"St George’s Hospital",-43.4998935,172.6206626,-43.510477,"1967f7508eedd51be206eac401890988cead67f5",172.6189679,"Christchurch","Christchurch",274
"Paparoa Street School","7e217ad0f441d5f73006fc984cec0c75e080764e",1.2479,"Nurse Maude Hospital",-43.4998935,172.6206626,-43.5110375,"98f02f1620bba541b2bb79a055d2708bff3aa5a8",172.62259,"Christchurch","Christchurch",275
"Heaton Normal Intermediate","50c38ecc91289fe3f68926d0ea2f7cdc0c07b8d8",0.33865,"St George’s Hospital",-43.509712,172.614914,-43.510477,"1967f7508eedd51be206eac401890988cead67f5",172.6189679,"Christchurch","Christchurch",276
"Heaton Normal Intermediate","50c38ecc91289fe3f68926d0ea2f7cdc0c07b8d8",0.62418,"Hospice",-43.509712,172.614914,-43.5112087,"b2c2fe158a54756a5c576e058cdd7e5a11ba60ac",172.622354,"Christchurch","Christchurch",277
"Heaton Normal Intermediate","50c38ecc91289fe3f68926d0ea2f7cdc0c07b8d8",0.63793,"Nurse Maude Hospital",-43.509712,172.614914,-43.5110375,"98f02f1620bba541b2bb79a055d2708bff3aa5a8",172.62259,"Christchurch","Christchurch",278
"Harewood School","671f7dc5782efc8d0f261b7923316ac93ad2548a",3.78769,"Laura Fergusson Trust Inc",-43.480362,172.55934,-43.5102501,"b57292515a0d98bddde836ee42ab55e2b93a5421",172.5818672,"Christchurch","Christchurch",279
"Elmwood Normal School","4919c9d5c7b87caebb91f85b004aa322ee0bf192",0.49795,"St George’s Hospital",-43.5137391,172.614745,-43.510477,"1967f7508eedd51be206eac401890988cead67f5",172.6189679,"Christchurch","Christchurch",282
"Elmwood Normal School","4919c9d5c7b87caebb91f85b004aa322ee0bf192",0.67645,"Hospice",-43.5137391,172.614745,-43.5112087,"b2c2fe158a54756a5c576e058cdd7e5a11ba60ac",172.622354,"Christchurch","Christchurch",283
"Elmwood Normal School","4919c9d5c7b87caebb91f85b004aa322ee0bf192",0.70178,"Nurse Maude Hospital",-43.5137391,172.614745,-43.5110375,"98f02f1620bba541b2bb79a055d2708bff3aa5a8",172.62259,"Christchurch","Christchurch",284
"Wellington High School","c9f55914526577f80ae3bc210b586af471960f16",0.3645,"Ora Toa Poneke Medical Centre",-41.3012712,174.7749478,-41.3011256,"4b01a58204901a794cf271349509e62f3cd12012",174.7792957,"Wellington","Wellington",285
"Wellington High School","c9f55914526577f80ae3bc210b586af471960f16",0.6782,"Specialist Vein Health",-41.3012712,174.7749478,-41.2958631,"dd6765555fc8061d629216128e6844dddcbc1f85",174.771187,"Wellington","Wellington",286
"Wellington High School","c9f55914526577f80ae3bc210b586af471960f16",0.76837,"The Circumcision Clinic",-41.3012712,174.7749478,-41.3077181,"b63a4feee91b642b3b6f42f6ccccf1421372d996",174.7782773,"Wellington","Wellington",287
"Wellington College","f280844d7c3c251f74854c3d6ff393b98046d109",0.33376,"Ora Toa Poneke Medical Centre",-41.3034461,174.7818281,-41.3011256,"4b01a58204901a794cf271349509e62f3cd12012",174.7792957,"Wellington","Wellington",288
"Wellington College","f280844d7c3c251f74854c3d6ff393b98046d109",0.54358,"Grace Neill Block",-41.3034461,174.7818281,-41.3082651,"3a371f0d22fa16a8f219554407e38e4b6227da9d",174.7806928,"Wellington","Wellington",289
"Wellington College","f280844d7c3c251f74854c3d6ff393b98046d109",0.55993,"The Circumcision Clinic",-41.3034461,174.7818281,-41.3077181,"b63a4feee91b642b3b6f42f6ccccf1421372d996",174.7782773,"Wellington","Wellington",290
"Queen Margaret College","f979cf50b95538a13523a8c62bdc7f29b3c78c90",0.2904,"Thorndon Medical Centre",-41.272159,174.7799744,-41.2741348,"9df97238095d5501640c5cf73763ceb31b8fe6ec",174.7777041,"Wellington","Wellington",291
"Queen Margaret College","f979cf50b95538a13523a8c62bdc7f29b3c78c90",1.24018,"Wadestown Medical Practice",-41.272159,174.7799744,-41.2618656,"e7c8aaf28262f9d1f5b6dca062789000b650f0e8",174.7742361,"Wellington","Wellington",292
"Queen Margaret College","f979cf50b95538a13523a8c62bdc7f29b3c78c90",1.77587,"The Breast Centre",-41.272159,174.7799744,-41.2597519,"2ccea846647ec67d59592b7ba1200fd0c34a64f6",174.7666052,"Wellington","Wellington",293
"Samuel Marsden Collegiate School","86c923a0c2bd94b66d31d189198557b06d408fb3",1.99045,"Kelburn Northland",-41.2841,174.744,-41.2857785,"c9805c3dc3953bf03955508dcf1abb56988e8052",174.767656,"Wellington","Wellington",294
"Samuel Marsden Collegiate School","86c923a0c2bd94b66d31d189198557b06d408fb3",2.62544,"Specialist Vein Health",-41.2841,174.744,-41.2958631,"dd6765555fc8061d629216128e6844dddcbc1f85",174.771187,"Wellington","Wellington",295
"Samuel Marsden Collegiate School","86c923a0c2bd94b66d31d189198557b06d408fb3",3.03285,"Thorndon Medical Centre",-41.2841,174.744,-41.2741348,"9df97238095d5501640c5cf73763ceb31b8fe6ec",174.7777041,"Wellington","Wellington",296
"South Wellington Intermediate School","7d32eb2745004a6d97ce353f58ff146aabf6ddec",0.1122,"Vicki Robinson",-41.3179193,174.7792465,-41.3170256,"ab78f8d3ffcf5a248ef2b6bea0c2dc8ac5ff41e6",174.7786216,"Wellington","Wellington",297
"South Wellington Intermediate School","7d32eb2745004a6d97ce353f58ff146aabf6ddec",0.16003,"Wakefield Heart Centre",-41.3179193,174.7792465,-41.3167504,"928fb2b38b2baf211dd3d206f3bea6f1042385a5",174.7781289,"Wellington","Wellington",298
"South Wellington Intermediate School","7d32eb2745004a6d97ce353f58ff146aabf6ddec",0.69332,"Elizabeth Memorial Hospital",-41.3179193,174.7792465,-41.3202183,"c7d1140299476b7322739b9687b7c8ad1bc5e8b7",174.7715479,"Wellington","Wellington",299
"Scots College","ad76bdcda1059f7f4ccfbe606dd34547270ebdc8",0.56322,"Broadway Health Clinic",-41.328277,174.819238,-41.325373,"9622912abf5a32df52e9d5ea0df0e5ba27bb7321",174.8137227,"Wellington","Wellington",300
"Scots College","ad76bdcda1059f7f4ccfbe606dd34547270ebdc8",1.57008,"Miramar Medical Centre",-41.328277,174.819238,-41.3141582,"75708ab0a44ea5b93c61ee884ca86e1fd3905be4",174.8182807,"Wellington","Wellington",301
"Scots College","ad76bdcda1059f7f4ccfbe606dd34547270ebdc8",2.19653,"Kilbirnie Central Surgery",-41.328277,174.819238,-41.3197882,"03a2231d96fe9b9d389b6c499025175e4cb8d22b",174.7955415,"Wellington","Wellington",302
"St Mark's Church School","f0a065ac32fd65de0f2450817a50d11156c533e4",0.19506,"Ora Toa Poneke Medical Centre",-41.3010855,174.7816241,-41.3011256,"4b01a58204901a794cf271349509e62f3cd12012",174.7792957,"Wellington","Wellington",303
"St Mark's Church School","f0a065ac32fd65de0f2450817a50d11156c533e4",0.78814,"The Circumcision Clinic",-41.3010855,174.7816241,-41.3077181,"b63a4feee91b642b3b6f42f6ccccf1421372d996",174.7782773,"Wellington","Wellington",304
"St Mark's Church School","f0a065ac32fd65de0f2450817a50d11156c533e4",0.80117,"Grace Neill Block",-41.3010855,174.7816241,-41.3082651,"3a371f0d22fa16a8f219554407e38e4b6227da9d",174.7806928,"Wellington","Wellington",305
"Tawa College","15b3f2eac797c5c6d93d54c0ee43128aff448b1b",2.10332,"Kenepuru Community Hospital",-41.1654955,174.8315362,-41.1466674,"10aa272a52c3a686f8fe1487cd38332333313cd5",174.8342452,"Wellington","Wellington",306
"Ridgway School","082cdee1e76d5e42bcd4fc39458c6ee656ba577b",0.76604,"Elizabeth Memorial Hospital",-41.3157484,174.76458,-41.3202183,"c7d1140299476b7322739b9687b7c8ad1bc5e8b7",174.7715479,"Wellington","Wellington",309
"Ridgway School","082cdee1e76d5e42bcd4fc39458c6ee656ba577b",1.13992,"Wakefield Heart Centre",-41.3157484,174.76458,-41.3167504,"928fb2b38b2baf211dd3d206f3bea6f1042385a5",174.7781289,"Wellington","Wellington",310
"Ridgway School","082cdee1e76d5e42bcd4fc39458c6ee656ba577b",1.15014,"Wellington Specialist Vein Clinic",-41.3157484,174.76458,-41.3094761,"b1621507dd4dc37916725bef9f9305ec1b7bc950",174.7755094,"Wellington","Wellington",311
"Newlands College","7e5dc41dd13dce9b3daa432a646ccf5a32a8fa3c",1.02514,"Cashmere Hospital",-41.2185896,174.8238169,-41.2202089,"bab36c554cec491b68281e3a66ba039ecb662713",174.8117814,"Wellington","Wellington",312
"Newlands College","7e5dc41dd13dce9b3daa432a646ccf5a32a8fa3c",2.27688,"Onslow Medical Centre",-41.2185896,174.8238169,-41.2293706,"1c65794dd52d6ef084356092f9d425d709d1ae9b",174.8007202,"Wellington","Wellington",313
"Onslow College","8124b0efe9df43d733ba5c5291679628d39d659d",0.21918,"Onslow Medical Centre",-41.2303131,174.7984234,-41.2293706,"1c65794dd52d6ef084356092f9d425d709d1ae9b",174.8007202,"Wellington","Wellington",315
"Onslow College","8124b0efe9df43d733ba5c5291679628d39d659d",1.58547,"Cashmere Hospital",-41.2303131,174.7984234,-41.2202089,"bab36c554cec491b68281e3a66ba039ecb662713",174.8117814,"Wellington","Wellington",316
"Onslow College","8124b0efe9df43d733ba5c5291679628d39d659d",4.04842,"Wadestown Medical Practice",-41.2303131,174.7984234,-41.2618656,"e7c8aaf28262f9d1f5b6dca062789000b650f0e8",174.7742361,"Wellington","Wellington",317
"Amesbury School","3acce23063e2902b0e9d4139be3e9f79dbafd673",2.52266,"Cashmere Hospital",-41.1986366,174.802362,-41.2202089,"bab36c554cec491b68281e3a66ba039ecb662713",174.8117814,"Wellington","Wellington",318
"Amesbury School","3acce23063e2902b0e9d4139be3e9f79dbafd673",3.41603,"Onslow Medical Centre",-41.1986366,174.802362,-41.2293706,"1c65794dd52d6ef084356092f9d425d709d1ae9b",174.8007202,"Wellington","Wellington",319
